name,found,image_url,license,author,source,wikidata_qid
Sami Meguetounif,True,https://upload.wikimedia.org/wikipedia/commons/b/b4/Sami_Meguetounif_ADAC_F4_Hockenheim.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:AS19Portsmouth&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:AS19Portsmouth (page does not exist)"">AS19Portsmouth</a>",wikidata_P18,Q108799958
Jin Nakamura,True,https://upload.wikimedia.org/wikipedia/commons/0/07/Jin_Nakamura_Spa_2025.png,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Maceekim&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Maceekim (page does not exist)"">Maceekim</a>",wikidata_P18,Q123757976
Joseph Loake,True,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/FIA_F3_Austria_2024_Nr._31_Loake.jpg/330px-FIA_F3_Austria_2024_Nr._31_Loake.jpg,,,wikipedia_thumbnail,Q124260527
Ritomo Miyata,True,https://upload.wikimedia.org/wikipedia/commons/e/e2/Ritomo_Miyata_6_Hours_of_Monza_2023.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:BanHada2434&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:BanHada2434 (page does not exist)"">BanHada2434</a>",wikidata_P18,Q17221261
Alex García,True,https://commons.wikimedia.org/wiki/File%3AAlex%20Garcia%20Headshot.JPG,,,commons_category_search,Q4717031
Noel León,True,https://upload.wikimedia.org/wikipedia/commons/9/95/Noel_Le%C3%B3n_Race_3_Paul_Ricard_EuroFormula_Open.jpg,CC BY 3.0,@EuroFormulaOpen via Youtube,wikidata_P18,Q110572952
Roman Staněk,True,https://upload.wikimedia.org/wikipedia/commons/9/98/R.Stan%C4%9Bk_%28cropped%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:P.paroubkova&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:P.paroubkova (page does not exist)"">P.paroubkova</a>",wikidata_P18,Q96776893
Santiago Ramos,True,https://upload.wikimedia.org/wikipedia/commons/5/53/Santiago_Ramos_-_Seminci_2011.jpg,CC BY-SA 3.0,"<b><a href=""//commons.wikimedia.org/wiki/User:Rastrojo"" title=""User:Rastrojo"">Rastrojo</a></b> <sub>(<a href=""//commons.wikimedia.org/wiki/User_talk:Rastrojo"" title=""User talk:Rastrojo"">D</a>•<a href=""https://en.wikipedia.org/wiki/es:User:Rastrojo"" class=""extiw"" title=""w:es:User:Rastrojo"">ES</a>)</sub>",wikidata_P18,Q9074279
Richard Verschoor,True,https://upload.wikimedia.org/wikipedia/commons/c/cb/Richard_Verschoor_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q24717015
Zane Maloney,True,https://upload.wikimedia.org/wikipedia/commons/9/92/Zane_Maloney_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q86923950
Oliver Gray,True,https://upload.wikimedia.org/wikipedia/commons/d/d2/FIA_F3_Austria_2023_Nr._20_Gray_%281%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q116233920
Patrick Heuzenroeder,True,https://upload.wikimedia.org/wikipedia/commons/5/56/GB3_2025_Mogyor%C3%B3d_Nr._5_Heuzenroeder.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q131471395
Max Esterson,True,https://upload.wikimedia.org/wikipedia/commons/4/44/70th_MACAU_GRAND_PRIX_%28180%29.jpg,CC BY-SA 4.0,Dinkun Chen,wikidata_P18,Q120375899
James Hedley,True,https://upload.wikimedia.org/wikipedia/commons/9/92/GB3_2024_Mogyor%C3%B3d_Nr._2_Hedley.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q126179749
Matías Zagazeta,True,https://upload.wikimedia.org/wikipedia/commons/8/83/FREC_2023_Spielberg_Nr._88_%282%29_Zagazeta.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q111418084
Roberto Faria,True,https://upload.wikimedia.org/wikipedia/commons/1/17/Robertofarias_tvbrasil.jpg,CC BY 3.0 br,"Mídia promocional do programa Revista do Cinema Brasileiro (TV Brasil), remix de Praxides",wikidata_P18,Q2110848
Gabriele Minì,True,https://upload.wikimedia.org/wikipedia/commons/e/e1/FIA_F3_Austria_2023_Nr._15_Min%C3%AC_%281%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q104591525
Jak Crawford,True,https://upload.wikimedia.org/wikipedia/commons/9/9a/Jak_Crawford_2026.png,CC0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Parkasity&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Parkasity (page does not exist)"">Parkasity</a>",wikidata_P18,Q104558496
Nikola Tsolov,True,https://upload.wikimedia.org/wikipedia/commons/2/25/%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%A6%D0%BE%D0%BB%D0%BE%D0%B2_-_%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B0%D1%82%D0%B0_%D0%BD%D0%B0%D0%B4%D0%B5%D0%B6%D0%B4%D0%B0_%28Nikola_Tsolov%29_%28cropped%29_%28cropped%29.jpg,CC BY 3.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/@ClubS1video"">ClubS1Video</a>",wikidata_P18,Q111797244
Martinius Stenshorne,True,https://upload.wikimedia.org/wikipedia/commons/f/f4/F4_Italy_2022_Nr._34_%2800%29.jpg,CC BY-SA 4.0,Lukas Raich,wikidata_P18,Q115515317
Arvid Lindblad,True,https://upload.wikimedia.org/wikipedia/commons/4/4b/Arvid_Lindblad_at_the_Red_Bull_Fan_Zone_%E2%80%93_Crown_Riverwalk%2C_Melbourne_%28028A7869%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Pangalau"" title=""User:Pangalau"">Yu Chu Chin</a>",wikidata_P18,Q117035650
James Wharton,True,https://upload.wikimedia.org/wikipedia/commons/3/3a/F4_Italy_2022_Nr._13_%281%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q114285074
Théophile Naël,True,https://upload.wikimedia.org/wikipedia/commons/6/6d/FREC_2024_Spielberg_Nr._44_Na%C3%ABl.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q123404906
Ugo Ugochukwu,True,https://upload.wikimedia.org/wikipedia/commons/3/35/Ugochukwu2021.jpg,CC BY 3.0,PlusTV Africa Via Youtube,wikidata_P18,Q114067774
Noah Strømsted,True,https://upload.wikimedia.org/wikipedia/commons/5/50/F4_Spain_2023_Spa_Noah_Str%C3%B8msted.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q123932896
Freddie Slater,True,https://upload.wikimedia.org/wikipedia/commons/6/65/Freddie_Slater_Macau_2025_%28cropped%29.jpg,CC BY-SA 4.0,"<a href=""https://en.wikipedia.org/wiki/User:Mitchea99"" class=""extiw"" title=""w:User:Mitchea99"">Mitchea99</a>",wikidata_P18,Q122641927
Matteo De Palo,True,https://upload.wikimedia.org/wikipedia/commons/7/70/Matteo_De_Palo_Macau_2025.jpg,CC BY-SA 4.0,"<a href=""https://en.wikipedia.org/wiki/User:Mitchea99"" class=""extiw"" title=""w:User:Mitchea99"">Mitchea99</a>",wikidata_P18,Q123908790
Mattia Colnaghi,True,https://upload.wikimedia.org/wikipedia/commons/b/b1/Eurocup-3_2025_Spielberg_Nr._71_Colnaghi.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q131145288
Tuukka Taponen,True,https://upload.wikimedia.org/wikipedia/commons/2/25/FREC_2024_Mugello_Tuukka_Taponen.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q110322464
Alessandro Giusti,True,https://upload.wikimedia.org/wikipedia/commons/e/e1/FREC_2023_Spielberg_Nr._3_%282%29_Giusti.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q114708426
